name	unique reads 32151680_EXO_S22 32151680_EXO_S22	32151680_EXO_S22	32151680_EXO_S22 (mult. map. adj.)	32151680_EXO_S2232151680_EXO_S22(lib)	32151680_EXO_S2232151680_EXO_S22(total)	coordinateString 32151680_EXO_S22 32151680_EXO_S22	32151680_EXO_S22 (lib)	32151680_EXO_S22 (total)
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161462031,161462090,-	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	6:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,28982199,28982258,+	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,146035692,146035751,+	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161469411,161469470,-	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,248874248,248874307,+	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	6:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,125780259,125780318,-	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161454620,161454679,-	30516.43192488263	87.71527352321216
URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens	116.0	1820.0	227.5	244131.45539906103	701.7221881856973	1:hsa;URS000004D273_9606_tRNA-Glu:tRNA:Homo_sapiens,161447240,161447299,-	30516.43192488263	87.71527352321216
URS000003B35A_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8399772,8399831,+	16230.717639168335	46.65295866509304
URS0000086682_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8444007,8444066,+	16230.717639168335	46.65295866509304
URS000005D9C4_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8399772,8399831,+	16230.717639168335	46.65295866509304
URS000003B35A_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8444007,8444066,+	16230.717639168335	46.65295866509304
URS000008D842_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8444007,8444066,+	16230.717639168335	46.65295866509304
URS00000A5ABE_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8444007,8444066,+	16230.717639168335	46.65295866509304
URS0000086682_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8399772,8399831,+	16230.717639168335	46.65295866509304
URS000003B35A_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000003B35A_9606:rRNA:Homo_sapiens,8216738,8216797,+	16230.717639168335	46.65295866509304
URS000005D9C4_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8444007,8444066,+	16230.717639168335	46.65295866509304
URS000008D842_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8216738,8216797,+	16230.717639168335	46.65295866509304
URS00000A5ABE_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8399772,8399831,+	16230.717639168335	46.65295866509304
URS000005D9C4_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000005D9C4_9606:rRNA:Homo_sapiens,8216738,8216797,+	16230.717639168335	46.65295866509304
URS00000A5ABE_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS00000A5ABE_9606:rRNA:Homo_sapiens,8216738,8216797,+	16230.717639168335	46.65295866509304
URS0000086682_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS0000086682_9606:rRNA:Homo_sapiens,8216738,8216797,+	16230.717639168335	46.65295866509304
URS000008D842_9606:rRNA:Homo_sapiens	136.0	1815.0	120.99999999999993	243460.76458752516	699.7943799763959	21:hsa;URS000008D842_9606:rRNA:Homo_sapiens,8399772,8399831,+	16230.717639168335	46.65295866509304
URS0000007D24_9606:otherRNA:Homo_sapiens	56.0	1405.0	1405.0	188464.11804158284	541.7141068136839	7:hsa;URS0000007D24_9606:otherRNA:Homo_sapiens,148963315,148963374,+	188464.11804158284	541.7141068136839
URS000009AC8B_9606_tRNA-Gly (anticodon GCC) 3-1:tRNA:Homo_sapiens	29.0	547.0	94.5555555555556	73373.57478202549	210.90221809756946	16:hsa;URS000009AC8B_9606_tRNA-Gly (anticodon GCC) 3-1:tRNA:Homo_sapiens,70778222,70778281,-	12683.508458156351	36.4569952470103
URS0000009A89_9606_piR-34358:piRNA:Homo_sapiens	23.0	509.0	56.55555555555558	68276.32461435278	196.25087570687907	1:hsa;URS0000009A89_9606_piR-34358:piRNA:Homo_sapiens,229537856,229537883,+	7586.258290483645	21.805652856319906
