name	unique reads 32170273_EXO_S23	32170273_EXO_S23	read count (mult. map. adj.)	32170273_EXO_S2332170273_EXO_S23(lib)	RPM (total)	coordinateString 32170273_EXO_S23	32170273_EXO_S23 (lib)	RPM_adj (total)
ENST00000410482.1-ENSG00000222414.1:snRNA	6.0	97.0	97.0	461904.7619047619	11.564009654636678	10:hsa;ENST00000410482.1-ENSG00000222414.1:snRNA,101364976,101365035,-	461904.7619047619	11.564009654636678
ENST00000459154.1-ENSG00000238941.1:snRNA	1.0	44.0	44.0	209523.80952380953	5.2455301526186995	15:hsa;ENST00000459154.1-ENSG00000238941.1:snRNA,45354826,45354885,-	209523.80952380953	5.2455301526186995
ENST00000363450.1-ENSG00000200320.1:snoRNA	3.0	31.0	15.5	147619.0476190476	3.695714425708629	3:hsa;ENST00000363450.1-ENSG00000200320.1:snoRNA,186787300,186787359,+	73809.5238095238	1.8478572128543145
ENST00000363548.1-ENSG00000200418.1:snoRNA	3.0	31.0	15.5	147619.0476190476	3.695714425708629	3:hsa;ENST00000363548.1-ENSG00000200418.1:snoRNA,186786323,186786382,+	73809.5238095238	1.8478572128543145
ENST00000364102.1-ENSG00000200972.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000364102.1-ENSG00000200972.1:snRNA,210374208,210374267,-	11428.571428571428	0.2861198265064745
ENST00000362477.1-ENSG00000199347.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000362477.1-ENSG00000199347.1:snRNA,11908152,11908211,+	11428.571428571428	0.2861198265064745
ENST00000362698.1-ENSG00000199568.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	15:hsa;ENST00000362698.1-ENSG00000199568.1:snRNA,65296051,65296110,+	11428.571428571428	0.2861198265064745
ENST00000629478.1-ENSG00000281499.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000629478.1-ENSG00000281499.1:snRNA,210374208,210374267,-	11428.571428571428	0.2861198265064745
ENST00000364931.1-ENSG00000201801.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000364931.1-ENSG00000201801.1:snRNA,11909868,11909927,-	11428.571428571428	0.2861198265064745
ENST00000363286.1-ENSG00000200156.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	15:hsa;ENST00000363286.1-ENSG00000200156.1:snRNA,65304677,65304736,+	11428.571428571428	0.2861198265064745
ENST00000365574.1-ENSG00000202444.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000365574.1-ENSG00000202444.1:snRNA,44819938,44819997,-	11428.571428571428	0.2861198265064745
ENST00000362507.1-ENSG00000199377.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000362507.1-ENSG00000199377.1:snRNA,44721843,44721902,-	11428.571428571428	0.2861198265064745
ENST00000363299.1-ENSG00000200169.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	1:hsa;ENST00000363299.1-ENSG00000200169.1:snRNA,44731111,44731170,-	11428.571428571428	0.2861198265064745
ENST00000516712.1-ENSG00000252521.1:snRNA	2.0	24.0	2.4	114285.71428571428	2.861198265064745	9:hsa;ENST00000516712.1-ENSG00000252521.1:snRNA,132421641,132421690,+	11428.571428571428	0.2861198265064745
ENST00000411175.1-ENSG00000223107.1:snRNA	2.0	3.0	3.0	14285.714285714284	0.35764978313309315	10:hsa;ENST00000411175.1-ENSG00000223107.1:snRNA,60912868,60912927,-	14285.714285714284	0.35764978313309315
ENST00000365434.1-ENSG00000202304.1:snRNA	1.0	1.0	1.0	4761.9047619047615	0.11921659437769772	X:hsa;ENST00000365434.1-ENSG00000202304.1:snRNA,130310119,130310178,-	4761.9047619047615	0.11921659437769772
ENST00000384247.1-ENSG00000206974.1:snRNA	1.0	1.0	1.0	4761.9047619047615	0.11921659437769772	6:hsa;ENST00000384247.1-ENSG00000206974.1:snRNA,108292766,108292825,+	4761.9047619047615	0.11921659437769772
ENST00000384710.1-ENSG00000207441.1:snRNA	1.0	1.0	1.0	4761.9047619047615	0.11921659437769772	16:hsa;ENST00000384710.1-ENSG00000207441.1:snRNA,62187587,62187646,-	4761.9047619047615	0.11921659437769772
ENST00000459318.1-ENSG00000238619.1:snRNA	1.0	1.0	1.0	4761.9047619047615	0.11921659437769772	2:hsa;ENST00000459318.1-ENSG00000238619.1:snRNA,55451040,55451099,-	4761.9047619047615	0.11921659437769772
ENST00000383976.1-ENSG00000206703.1:snRNA	1.0	1.0	1.0	4761.9047619047615	0.11921659437769772	4:hsa;ENST00000383976.1-ENSG00000206703.1:snRNA,158794637,158794696,-	4761.9047619047615	0.11921659437769772
ENST00000410506.1-ENSG00000222438.1:snRNA	1.0	1.0	0.5	4761.9047619047615	0.11921659437769772	12:hsa;ENST00000410506.1-ENSG00000222438.1:snRNA,130869778,130869837,-	2380.9523809523807	0.05960829718884886
ENST00000630949.1-ENSG00000281243.1:snoRNA	1.0	1.0	0.5	4761.9047619047615	0.11921659437769772	9:hsa;ENST00000630949.1-ENSG00000281243.1:snoRNA,133350095,133350154,+	2380.9523809523807	0.05960829718884886
